,Date,Total Downloads,pull_date
0,5/23/23,1,2024-12-18
1,5/24/23,8,2024-12-18
2,5/25/23,7,2024-12-18
3,5/26/23,4,2024-12-18
4,5/27/23,2,2024-12-18
5,5/28/23,1,2024-12-18
6,5/29/23,1,2024-12-18
7,5/30/23,15,2024-12-18
8,5/31/23,10,2024-12-18
9,6/1/23,5,2024-12-18
10,6/2/23,1,2024-12-18
11,6/3/23,2,2024-12-18
12,6/4/23,2,2024-12-18
13,6/5/23,3,2024-12-18
14,6/6/23,6,2024-12-18
15,6/7/23,2,2024-12-18
16,6/8/23,2,2024-12-18
17,6/9/23,4,2024-12-18
18,6/10/23,2,2024-12-18
19,6/11/23,3,2024-12-18
20,6/12/23,2,2024-12-18
21,6/13/23,1,2024-12-18
22,6/14/23,1,2024-12-18
23,6/15/23,0,2024-12-18
24,6/16/23,2,2024-12-18
25,6/17/23,1,2024-12-18
26,6/18/23,1,2024-12-18
27,6/19/23,3,2024-12-18
28,6/20/23,4,2024-12-18
29,6/21/23,4,2024-12-18
30,6/22/23,4,2024-12-18
31,6/23/23,0,2024-12-18
32,6/24/23,1,2024-12-18
33,6/25/23,2,2024-12-18
34,6/26/23,3,2024-12-18
35,6/27/23,1,2024-12-18
36,6/28/23,0,2024-12-18
37,6/29/23,4,2024-12-18
38,6/30/23,1,2024-12-18
39,7/1/23,1,2024-12-18
40,7/2/23,3,2024-12-18
41,7/3/23,5,2024-12-18
42,7/4/23,4,2024-12-18
43,7/5/23,0,2024-12-18
44,7/6/23,1,2024-12-18
45,7/7/23,4,2024-12-18
46,7/8/23,1,2024-12-18
47,7/9/23,5,2024-12-18
48,7/10/23,3,2024-12-18
49,7/11/23,1,2024-12-18
50,7/12/23,2,2024-12-18
51,7/13/23,2,2024-12-18
52,7/14/23,2,2024-12-18
53,7/15/23,4,2024-12-18
54,7/16/23,0,2024-12-18
55,7/17/23,3,2024-12-18
56,7/18/23,4,2024-12-18
57,7/19/23,1,2024-12-18
58,7/20/23,4,2024-12-18
59,7/21/23,3,2024-12-18
60,7/22/23,1,2024-12-18
61,7/23/23,3,2024-12-18
62,7/24/23,5,2024-12-18
63,7/25/23,17,2024-12-18
64,7/26/23,12,2024-12-18
65,7/27/23,8,2024-12-18
66,7/28/23,9,2024-12-18
67,7/29/23,14,2024-12-18
68,7/30/23,7,2024-12-18
69,7/31/23,6,2024-12-18
70,8/1/23,14,2024-12-18
71,8/2/23,11,2024-12-18
72,8/3/23,11,2024-12-18
73,8/4/23,4,2024-12-18
74,8/5/23,11,2024-12-18
75,8/6/23,12,2024-12-18
76,8/7/23,3,2024-12-18
77,8/8/23,5,2024-12-18
78,8/9/23,7,2024-12-18
79,8/10/23,14,2024-12-18
80,8/11/23,7,2024-12-18
81,8/12/23,8,2024-12-18
82,8/13/23,10,2024-12-18
83,8/14/23,12,2024-12-18
84,8/15/23,11,2024-12-18
85,8/16/23,13,2024-12-18
86,8/17/23,5,2024-12-18
87,8/18/23,11,2024-12-18
88,8/19/23,5,2024-12-18
89,8/20/23,11,2024-12-18
90,8/21/23,7,2024-12-18
91,8/22/23,7,2024-12-18
92,8/23/23,7,2024-12-18
93,8/24/23,10,2024-12-18
94,8/25/23,9,2024-12-18
95,8/26/23,12,2024-12-18
96,8/27/23,8,2024-12-18
97,8/28/23,11,2024-12-18
98,8/29/23,7,2024-12-18
99,8/30/23,5,2024-12-18
100,8/31/23,18,2024-12-18
101,9/1/23,17,2024-12-18
102,9/2/23,7,2024-12-18
103,9/3/23,8,2024-12-18
104,9/4/23,7,2024-12-18
105,9/5/23,5,2024-12-18
106,9/6/23,10,2024-12-18
107,9/7/23,11,2024-12-18
108,9/8/23,14,2024-12-18
109,9/9/23,10,2024-12-18
110,9/10/23,15,2024-12-18
111,9/11/23,7,2024-12-18
112,9/12/23,6,2024-12-18
113,9/13/23,8,2024-12-18
114,9/14/23,7,2024-12-18
115,9/15/23,5,2024-12-18
116,9/16/23,1,2024-12-18
117,9/17/23,6,2024-12-18
118,9/18/23,6,2024-12-18
119,9/19/23,7,2024-12-18
120,9/20/23,6,2024-12-18
121,9/21/23,7,2024-12-18
122,9/22/23,7,2024-12-18
123,9/23/23,8,2024-12-18
124,9/24/23,3,2024-12-18
125,9/25/23,3,2024-12-18
126,9/26/23,8,2024-12-18
127,9/27/23,8,2024-12-18
128,9/28/23,7,2024-12-18
129,9/29/23,4,2024-12-18
130,9/30/23,4,2024-12-18
131,10/1/23,4,2024-12-18
132,10/2/23,6,2024-12-18
133,10/3/23,8,2024-12-18
134,10/4/23,8,2024-12-18
135,10/5/23,6,2024-12-18
136,10/6/23,3,2024-12-18
137,10/7/23,2,2024-12-18
138,10/8/23,3,2024-12-18
139,10/9/23,10,2024-12-18
