,date,cost,revenue,revenue_to_cost,pull_date
0,2 - 8 Jan,2552363,887500,0.35,2024-12-18
1,9 - 15 Jan,7770148,678750,0.09,2024-12-18
2,16 - 22 Jan,2597804,541250,0.21,2024-12-18
3,23 - 29 Jan,3270646,475000,0.15,2024-12-18
4,30 Jan - 5 Feb,2064368,338750,0.16,2024-12-18
5,6 - 12 Feb,1861104,1550000,0.83,2024-12-18
6,13 - 19 Feb,1863075,715000,0.38,2024-12-18
7,20 - 26 Feb,2042759,188750,0.09,2024-12-18
8,27 Feb - 5 Mar,2106598,248750,0.12,2024-12-18
9,6 - 12 Mar,2102304,270000,0.13,2024-12-18
10,13 -19 Mar,4349791,130000,0.03,2024-12-18
11,20 - 26 Mar,5518774,142500,0.03,2024-12-18
12,27 Mar - 2 Apr,4487569,68750,0.02,2024-12-18
13,3 - 9 Apr,3202074,170000,0.05,2024-12-18
14,10 - 16 Apr,3902398,525000,0.13,2024-12-18
15,17 - 23 Apr,5178509,93750,0.02,2024-12-18
16,24 - 30 Apr,5622473,287500,0.05,2024-12-18
17,1 - 7 May,3911678,93750,0.02,2024-12-18
18,8 - 14 May,3557656,212500,0.06,2024-12-18
19,15 -21 May,4678217,337500,0.07,2024-12-18
20,22 -28 May,5945584,940009,0.16,2024-12-18
21,29 May - 4 June,3923656,685500,0.17,2024-12-18
22,5 - 11 June,5261952,93750,0.02,2024-12-18
23,12 - 18 June,6002409,386500,0.06,2024-12-18
24,19 - 25 June,4848767,118750,0.02,2024-12-18
25,26 Jun - 2 Jul,4228319,131250,0.03,2024-12-18
26,3 - 9 Jul,4502126,93750,0.02,2024-12-18
27,10 - 16 Jul,5451674,244250,0.04,2024-12-18
28,17 -23 Juli,5394045,181250,0.03,2024-12-18
29,24 - 30 Juli,5622970,217000,0.04,2024-12-18
30,31 Juli - 6 Agustus,6028990,330250,0.05,2024-12-18
31,7 - 13 Agustus,6421439,492750,0.08,2024-12-18
32,14 - 20 Aug,6963711,439927,0.06,2024-12-18
33,21 - 27 Aug,7913452,689518,0.09,2024-12-18
34,28 Aug - 3 Sep,7138683,365497,0.05,2024-12-18
35,4 - 10 Sep,8463912,349610,0.04,2024-12-18
36,11 - 17 Sep,4335491,119602,0.03,2024-12-18
37,18 - 24 Sep,3467797,803876,0.23,2024-12-18
38,25 Sep - 1 Okt,3927021,230307,0.06,2024-12-18
39,2 - 8 Okt,2983651,499653,0.17,2024-12-18
40,9 - 15 Okt,2966561,339307,0.11,2024-12-18
41,16 - 22 Okt,2901864,394150,0.14,2024-12-18
42,23 - 29 Okt,3305925,646571,0.2,2024-12-18
43,30 Okt - 5 Nov,3595049,501715,0.14,2024-12-18
44,6 - 12 Nov,4094562,250735,0.06,2024-12-18
45,13 - 19 Nov,8373262,425435,0.05,2024-12-18
46,20 - 26 Nov,10572676,526399,0.05,2024-12-18
47,27 Nov - 3 Dec,7473533,600815,0.08,2024-12-18
48,4 - 10 Dec,5970035,376235,0.06,2024-12-18
49,11 - 17 Dec,5562471,370053,0.07,2024-12-18
50,18 - 24 Dec,5419162,487638,0.09,2024-12-18
51,25 - 31 Dec,5074458,546611,0.11,2024-12-18
52,1 - 7 Jan,5289099,396764,0.08,2024-12-18
53,8 - 14 Jan,5364130,694732,0.13,2024-12-18
54,15 - 21 Jan,5276893,576098,0.11,2024-12-18
55,22 - 28 Jan,7581841,656265,0.09,2024-12-18
56,29 Jan - 4 Feb,13642181,1405705,0.1,2024-12-18
57,5 - 11 Feb,10356089,1290943,0.12,2024-12-18
58,12 - 18 Feb,10810330,1152579,0.11,2024-12-18
59,19 - 25 Feb,10587746,1248323,0.12,2024-12-18
60,26 Feb - 3 Mar,9046903,1273206,0.14,2024-12-18
61,4 - 10 Mar,9626391,1079707,0.11,2024-12-18
62,11 - 17 Mar,9535629,924655,0.1,2024-12-18
