,date,daily_active_user,monthly_active_user,pull_date
0,2023-01-01,0,0,2024-12-18
1,2023-01-02,0,0,2024-12-18
2,2023-01-03,0,0,2024-12-18
3,2023-01-04,0,0,2024-12-18
4,2023-01-05,0,0,2024-12-18
5,2023-01-06,0,0,2024-12-18
6,2023-01-07,0,0,2024-12-18
7,2023-01-08,0,0,2024-12-18
8,2023-01-09,0,0,2024-12-18
9,2023-01-10,0,0,2024-12-18
10,2023-01-11,0,0,2024-12-18
11,2023-01-12,0,0,2024-12-18
12,2023-01-13,0,0,2024-12-18
13,2023-01-14,0,0,2024-12-18
14,2023-01-15,0,0,2024-12-18
15,2023-01-16,0,0,2024-12-18
16,2023-01-17,0,0,2024-12-18
17,2023-01-18,0,0,2024-12-18
18,2023-01-19,0,0,2024-12-18
19,2023-01-20,0,0,2024-12-18
20,2023-01-21,0,0,2024-12-18
21,2023-01-22,0,0,2024-12-18
22,2023-01-23,0,0,2024-12-18
23,2023-01-24,0,0,2024-12-18
24,2023-01-25,0,0,2024-12-18
25,2023-01-26,0,0,2024-12-18
26,2023-01-27,0,0,2024-12-18
27,2023-01-28,0,0,2024-12-18
28,2023-01-29,0,0,2024-12-18
29,2023-01-30,0,0,2024-12-18
30,2023-01-31,0,0,2024-12-18
31,2023-02-01,0,0,2024-12-18
32,2023-02-02,0,0,2024-12-18
33,2023-02-03,0,0,2024-12-18
34,2023-02-04,0,0,2024-12-18
35,2023-02-05,0,0,2024-12-18
36,2023-02-06,0,0,2024-12-18
37,2023-02-07,0,0,2024-12-18
38,2023-02-08,0,0,2024-12-18
39,2023-02-09,0,0,2024-12-18
40,2023-02-10,70,70,2024-12-18
41,2023-02-11,99,165,2024-12-18
42,2023-02-12,98,260,2024-12-18
43,2023-02-13,150,405,2024-12-18
44,2023-02-14,127,518,2024-12-18
45,2023-02-15,76,577,2024-12-18
46,2023-02-16,53,618,2024-12-18
47,2023-02-17,87,695,2024-12-18
48,2023-02-18,81,768,2024-12-18
49,2023-02-19,72,836,2024-12-18
50,2023-02-20,60,882,2024-12-18
51,2023-02-21,47,922,2024-12-18
52,2023-02-22,40,948,2024-12-18
53,2023-02-23,40,978,2024-12-18
54,2023-02-24,33,998,2024-12-18
55,2023-02-25,31,1017,2024-12-18
56,2023-02-26,28,1036,2024-12-18
57,2023-02-27,37,1061,2024-12-18
58,2023-02-28,58,1105,2024-12-18
59,2023-03-01,44,1135,2024-12-18
60,2023-03-02,43,1168,2024-12-18
61,2023-03-03,45,1200,2024-12-18
62,2023-03-04,25,1215,2024-12-18
63,2023-03-05,36,1244,2024-12-18
64,2023-03-06,33,1264,2024-12-18
65,2023-03-07,40,1290,2024-12-18
66,2023-03-08,37,1314,2024-12-18
67,2023-03-09,26,1328,2024-12-18
68,2023-03-10,2,1329,2024-12-18
69,2023-03-11,1,1329,2024-12-18
70,2023-03-12,1,1274,2024-12-18
71,2023-03-13,1,1182,2024-12-18
72,2023-03-14,0,1094,2024-12-18
73,2023-03-15,1,954,2024-12-18
74,2023-03-16,1,849,2024-12-18
75,2023-03-17,1,789,2024-12-18
76,2023-03-18,0,755,2024-12-18
77,2023-03-19,0,680,2024-12-18
78,2023-03-20,0,606,2024-12-18
79,2023-03-21,0,541,2024-12-18
80,2023-03-22,0,494,2024-12-18
81,2023-03-23,0,458,2024-12-18
82,2023-03-24,1,430,2024-12-18
83,2023-03-25,0,398,2024-12-18
84,2023-03-26,0,376,2024-12-18
85,2023-03-27,0,352,2024-12-18
86,2023-03-28,0,333,2024-12-18
87,2023-03-29,0,309,2024-12-18
88,2023-03-30,0,263,2024-12-18
89,2023-03-31,0,232,2024-12-18
90,2023-04-01,1,198,2024-12-18
91,2023-04-02,0,165,2024-12-18
92,2023-04-03,0,147,2024-12-18
93,2023-04-04,0,116,2024-12-18
94,2023-04-05,0,94,2024-12-18
95,2023-04-06,0,61,2024-12-18
96,2023-04-07,0,30,2024-12-18
97,2023-04-08,1,6,2024-12-18
98,2023-04-09,0,5,2024-12-18
99,2023-04-10,0,5,2024-12-18
100,2023-04-11,0,5,2024-12-18
101,2023-04-12,0,5,2024-12-18
102,2023-04-13,0,5,2024-12-18
103,2023-04-14,0,5,2024-12-18
104,2023-04-15,1,5,2024-12-18
105,2023-04-16,0,4,2024-12-18
106,2023-04-17,0,4,2024-12-18
107,2023-04-18,0,4,2024-12-18
108,2023-04-19,0,4,2024-12-18
109,2023-04-20,0,4,2024-12-18
110,2023-04-21,0,4,2024-12-18
111,2023-04-22,1,5,2024-12-18
112,2023-04-23,0,4,2024-12-18
113,2023-04-24,0,4,2024-12-18
114,2023-04-25,0,4,2024-12-18
115,2023-04-26,0,4,2024-12-18
116,2023-04-27,0,4,2024-12-18
117,2023-04-28,0,4,2024-12-18
118,2023-04-29,1,5,2024-12-18
119,2023-04-30,0,5,2024-12-18
120,2023-05-01,0,4,2024-12-18
121,2023-05-02,0,4,2024-12-18
122,2023-05-03,0,4,2024-12-18
123,2023-05-04,0,4,2024-12-18
124,2023-05-05,0,4,2024-12-18
125,2023-05-06,0,4,2024-12-18
126,2023-05-07,2,6,2024-12-18
127,2023-05-08,0,5,2024-12-18
128,2023-05-09,0,5,2024-12-18
129,2023-05-10,0,5,2024-12-18
130,2023-05-11,0,5,2024-12-18
131,2023-05-12,0,5,2024-12-18
