week,Indexing,DR,Reffering Domains,Backlinks,pull_date
27 - 2 April,117,7,21,45,2024-12-18
3 - 9 April,159,7,21,48,2024-12-18
10 - 16 April,139,7,22,49,2024-12-18
17 - 23 April,145,10,35,60,2024-12-18
24 - 30 April,153,13,42,71,2024-12-18
1 - 7 Mei,380,13,45,73,2024-12-18
8 - 14 Mei,489,13,45,73,2024-12-18
15 - 21 Mei,380,16,58,85,2024-12-18
22 - 28 Mei,380,20,81,120,2024-12-18
29 - 4 Jun,416,23,81,122,2024-12-18
5 - 11 Jun,408,23,81,124,2024-12-18
12 - 18 Jun,505,24,82,134,2024-12-18
19 - 25 Jun,750,26,111,163,2024-12-18
26 - 2 Juli,768,27,121,182,2024-12-18
3 - 9 Juli,706,27,123,182,2024-12-18
10 - 16 Juli,667,27,139,204,2024-12-18
17 - 23 Juli,647,29,157,238,2024-12-18
24 - 30 Juli,645,29,158,243,2024-12-18
31 - 6 Agustus,711,29,156,238,2024-12-18
7 - 13 Agustus,612,29,162,250,2024-12-18
14 - 20 Agustus,627,30,180,269,2024-12-18
21 - 27 Agustus,673,32,187,271,2024-12-18
28 - 3 Sept,617,33,187,269,2024-12-18
4 - 10 Sept,700,33,186,268,2024-12-18
11 - 17 Sept,754,33,194,282,2024-12-18
18 - 24 Sept,603,37,214,309,2024-12-18
25 - 1 okt,625,35,214,310,2024-12-18
2 - 8 okt,568,35,214,312,2024-12-18
9 - 15 okt,548,39,214,309,2024-12-18
16 - 22 okt,534,36,217,311,2024-12-18
23 - 29 okt,544,37,226,331,2024-12-18
30 - 5 Nov,626,37,228,331,2024-12-18
6 - 12 Nov,528,37,229,334,2024-12-18
13 - 19 Nov,547,37,231,338,2024-12-18
20 - 26 Nov,528,38,231,340,2024-12-18
27 - 3 Des,492,38,235,351,2024-12-18
4 - 10 Des,422,38,233,343,2024-12-18
11 - 17 Des,534,38,238,343,2024-12-18
18 - 24 Des,648,37,240,346,2024-12-18
25 - 31 Des,741,38,242,349,2024-12-18
1 - 7 Jan,700,38,241,348,2024-12-18
8 - 14 Jan,610,38,242,350,2024-12-18
15 - 21 Jan,690,38,246,356,2024-12-18
22 - 28 Jan,780,38,256,371,2024-12-18
29 - 4 Feb,790,38,255,374,2024-12-18
5 - 11 Feb,736,38,256,370,2024-12-18
12 - 18 Feb,840,38,256,373,2024-12-18
19 - 25 Feb,710,39,257,375,2024-12-18
26 - 3 Mar,813,38,257,379,2024-12-18
4 - 10 Mar,780,38,256,378,2024-12-18
11 - 17 Mar,660,38,255,380,2024-12-18
18 - 24 Mar,814,38,259,383,2024-12-18
25 - 31 Mar,840,39,267,397,2024-12-18
1 - 7 Apr,860,40,268,397,2024-12-18
8 - 14 Apr,910,40,269,398,2024-12-18
15 - 21 Apr,"1,040",39,268,398,2024-12-18
22 - 28 Apr,900,39,269,402,2024-12-18
29 - 5 May,600,40,270,405,2024-12-18
6 - 12 May,600,39,271,407,2024-12-18
13 - 19 May,600,41,283,417,2024-12-18
20 - 26 May,600,41,286,423,2024-12-18
27 - 2 Jun,665,41,286,426,2024-12-18
3 - 9 Jun,670,41,291,428,2024-12-18
10 - 16 Jun,681,41,322,466,2024-12-18
17 - 23 Jun,688,42,444,660,2024-12-18
24 - 30 Jun,821,41,471,735,2024-12-18
1 - 7 Jul,802,41,510,815,2024-12-18
8 - 14 Jul,814,40,490,773,2024-12-18
15 - 21 Jul,810,40,490,789,2024-12-18
22 - 28 Jul,802,40,493,812,2024-12-18
29 - 4 Agu,796,40,498,833,2024-12-18
5 - 11 Agu,798,40,501,833,2024-12-18
12 - 18 Aug,795,40,506,839,2024-12-18
19 - 25 Agu,914,40,501,852,2024-12-18
26 - 1 Sept,875,40,501,857,2024-12-18
2 - 8 Sept,795,41,510,875,2024-12-18
9 - 15 Sept,808,41,503,876,2024-12-18
16 - 22 Sept,839,41,506,893,2024-12-18
23 - 29 Sept,854,41,503,912,2024-12-18
30 - 6 Okt,859,41,508,1000,2024-12-18
7 - 13 Okt,866,41,514,1046,2024-12-18
14 - 20 Okt,842,41,533,1078,2024-12-18
21 - 27 Okt,848,41,537,1094,2024-12-18
28 - 3 Nov,846,41,536,1093,2024-12-18
4 - 10 Nov,833,41,526,1075,2024-12-18
11 - 17 Nov,858,41,527,1186,2024-12-18
18 - 24 Nov,863,41,527,1194,2024-12-18
25 - 1 Des,867,41,531,1211,2024-12-18
2 - 8 Des,875,41,532,1213,2024-12-18
