,Date,Store listing visitors: All traffic sources,Store listing visitors: Ads and referrals,Store listing visitors: Google Play explore,Store listing visitors: Google Play search,Store listing acquisitions: All traffic sources,Store listing acquisitions: Ads and referrals,Store listing acquisitions: Google Play explore,Store listing acquisitions: Google Play search,Store listing conversion rate: All traffic sources,Store listing conversion rate: Peers' median (All traffic sources),Store listing conversion rate: 25th percentile (All traffic sources),Store listing conversion rate: 75th percentile (All traffic sources),Store listing conversion rate: Ads and referrals,Store listing conversion rate: Google Play explore,Store listing conversion rate: Google Play search,Notes,pull_date
0,25 Oct 2022,0,0,0,0,0,0,0,0,0%,-,-,-,0%,0%,0%,Roll-out of release: Started roll-out of 3 (0.9.5) at 100%.,2024-12-18
1,26 Oct 2022,0,0,0,0,0,0,0,0,0%,41.62%,30%,52.85%,0%,0%,0%,Roll-out of release: Started roll-out of 4 (0.9.6) at 100%.,2024-12-18
2,27 Oct 2022,0,0,0,0,0,0,0,0,0%,41.67%,30.27%,53%,0%,0%,0%,,2024-12-18
3,28 Oct 2022,0,0,0,0,0,0,0,0,0%,41.30%,30.12%,52.78%,0%,0%,0%,,2024-12-18
4,29 Oct 2022,5,0,0,5,2,0,0,2,40%,41.27%,29.88%,52.74%,0%,0%,40%,,2024-12-18
5,30 Oct 2022,"1,035",439,10,586,882,351,2,529,85.22%,41.41%,30.33%,52.99%,79.95%,20%,90.27%,,2024-12-18
6,31 Oct 2022,"1,093",289,16,788,924,223,9,692,84.54%,41.67%,30.43%,53.01%,77.16%,56.25%,87.82%,,2024-12-18
7,1 Nov 2022,629,166,19,444,514,127,4,383,81.72%,42.05%,30.77%,53.42%,76.51%,21.05%,86.26%,,2024-12-18
8,2 Nov 2022,321,92,6,223,244,66,0,178,76.01%,41.67%,30.56%,53.03%,71.74%,0%,79.82%,,2024-12-18
9,3 Nov 2022,275,71,8,196,208,47,1,160,75.64%,41.67%,30.63%,53.10%,66.20%,12.50%,81.63%,Roll-out of release: Started roll-out of 5 (0.9.7) at 100%.,2024-12-18
10,4 Nov 2022,289,48,5,236,236,33,2,201,81.66%,41.28%,30.07%,52.69%,68.75%,40%,85.17%,,2024-12-18
11,5 Nov 2022,456,268,5,183,203,43,2,158,44.52%,40.98%,29.73%,52.13%,16.04%,40%,86.34%,,2024-12-18
12,6 Nov 2022,317,86,6,225,240,51,4,185,75.71%,41.67%,30.30%,52.73%,59.30%,66.67%,82.22%,Roll-out of release: Started roll-out of 7 (0.9.9) at 100%.,2024-12-18
13,7 Nov 2022,246,100,6,140,176,65,1,110,71.54%,41.96%,30.56%,53.21%,65%,16.67%,78.57%,,2024-12-18
14,8 Nov 2022,208,50,3,155,159,24,0,135,76.44%,41.86%,30.74%,53.33%,48%,0%,87.10%,,2024-12-18
15,9 Nov 2022,180,49,1,130,136,31,0,105,75.56%,41.90%,30.70%,53.33%,63.27%,0%,80.77%,,2024-12-18
16,10 Nov 2022,106,19,2,85,76,11,1,64,71.70%,41.67%,30.43%,53.06%,57.89%,50%,75.29%,,2024-12-18
17,11 Nov 2022,143,41,1,101,111,29,0,82,77.62%,41.51%,30.12%,52.63%,70.73%,0%,81.19%,,2024-12-18
18,12 Nov 2022,170,45,0,125,132,33,0,99,77.65%,41.12%,30.39%,52.51%,73.33%,0%,79.20%,,2024-12-18
19,13 Nov 2022,157,29,2,126,121,20,0,101,77.07%,41.81%,30.65%,52.77%,68.97%,0%,80.16%,,2024-12-18
20,14 Nov 2022,148,25,5,118,115,17,2,96,77.70%,41.98%,30.86%,53.44%,68%,40%,81.36%,Roll-out of release: Started roll-out of 8 (0.9.10) at 100%.,2024-12-18
21,15 Nov 2022,155,49,3,103,120,40,1,79,77.42%,41.73%,30.97%,53.09%,81.63%,33.33%,76.70%,Roll-out of release: Started roll-out of 9 (0.9.10) at 100%. Roll-out of release: Started roll-out of 10 (0.9.10) at 100%.,2024-12-18
22,16 Nov 2022,120,30,0,90,96,26,0,70,80%,41.86%,30.70%,53.33%,86.67%,0%,77.78%,,2024-12-18
23,17 Nov 2022,64,16,1,47,51,12,0,39,79.69%,41.88%,30.77%,53.10%,75%,0%,82.98%,,2024-12-18
24,18 Nov 2022,104,26,4,74,63,14,2,47,60.58%,41.67%,30.51%,52.94%,53.85%,50%,63.51%,,2024-12-18
25,19 Nov 2022,305,246,3,56,64,17,0,47,20.98%,41.24%,30.16%,52.63%,6.91%,0%,83.93%,Roll-out of release: Started roll-out of 11 (0.9.11) at 100%.,2024-12-18
26,20 Nov 2022,733,679,3,51,205,167,0,38,27.97%,42.09%,30.61%,53.18%,24.59%,0%,74.51%,,2024-12-18
27,21 Nov 2022,487,283,9,195,125,73,0,52,25.67%,41.94%,30.84%,53%,25.80%,0%,26.67%,,2024-12-18
28,22 Nov 2022,66,12,3,51,48,9,0,39,72.73%,41.89%,30.80%,53.27%,75%,0%,76.47%,Roll-out of release: Started roll-out of 12 (0.9.12) at 100%.,2024-12-18
29,23 Nov 2022,45,6,0,39,35,4,0,31,77.78%,41.85%,30.77%,53.10%,66.67%,0%,79.49%,,2024-12-18
30,24 Nov 2022,86,29,3,54,65,23,1,41,75.58%,41.50%,30.43%,52.94%,79.31%,33.33%,75.93%,,2024-12-18
31,25 Nov 2022,72,21,0,51,53,16,0,37,73.61%,41.43%,30.26%,52.68%,76.19%,0%,72.55%,,2024-12-18
32,26 Nov 2022,68,25,3,40,38,10,1,27,55.88%,41.03%,30%,52.17%,40%,33.33%,67.50%,,2024-12-18
33,27 Nov 2022,37,8,0,29,29,8,0,21,78.38%,41.82%,30.56%,52.94%,100%,0%,72.41%,,2024-12-18
34,28 Nov 2022,65,23,1,41,48,17,0,31,73.85%,42.11%,31.02%,53.01%,73.91%,0%,75.61%,,2024-12-18
35,29 Nov 2022,69,33,0,36,31,9,0,22,44.93%,41.87%,30.82%,53.10%,27.27%,0%,61.11%,,2024-12-18
36,30 Nov 2022,117,23,2,92,86,20,2,64,73.50%,41.94%,30.77%,53.08%,86.96%,100%,69.57%,,2024-12-18
37,1 Dec 2022,74,12,2,60,49,8,0,41,66.22%,41.24%,30%,52.94%,66.67%,0%,68.33%,Roll-out of release: Started roll-out of 13 (0.9.13) at 100%.,2024-12-18
38,2 Dec 2022,79,19,2,58,51,13,0,38,64.56%,41.40%,30.23%,52.44%,68.42%,0%,65.52%,,2024-12-18
39,3 Dec 2022,70,18,0,52,44,15,0,29,62.86%,40.86%,29.63%,52.27%,83.33%,0%,55.77%,,2024-12-18
40,4 Dec 2022,58,10,0,48,40,10,0,30,68.97%,41.80%,30.64%,52.86%,100%,0%,62.50%,,2024-12-18
41,5 Dec 2022,66,14,1,51,45,11,0,34,68.18%,41.66%,30.50%,52.71%,78.57%,0%,66.67%,,2024-12-18
42,6 Dec 2022,79,24,2,53,50,20,0,30,63.29%,41.78%,30.77%,53%,83.33%,0%,56.60%,,2024-12-18
43,7 Dec 2022,315,202,3,110,234,169,0,65,74.29%,41.67%,30.40%,52.93%,83.66%,0%,59.09%,,2024-12-18
44,8 Dec 2022,346,246,3,97,259,195,0,64,74.86%,41.58%,30.41%,53%,79.27%,0%,65.98%,,2024-12-18
45,9 Dec 2022,366,261,3,102,266,198,0,68,72.68%,40.85%,29.63%,52%,75.86%,0%,66.67%,,2024-12-18
46,10 Dec 2022,143,83,0,60,90,54,0,36,62.94%,40.73%,29.49%,52.04%,65.06%,0%,60%,,2024-12-18
47,11 Dec 2022,254,103,3,148,197,81,0,116,77.56%,41.92%,30.65%,52.95%,78.64%,0%,78.38%,,2024-12-18
48,12 Dec 2022,550,428,6,116,331,254,1,76,60.18%,41.73%,30.38%,52.77%,59.35%,16.67%,65.52%,,2024-12-18
49,13 Dec 2022,"1,682","1,281",21,380,328,292,3,33,19.50%,41.67%,30.52%,53.19%,22.79%,14.29%,8.68%,,2024-12-18
50,14 Dec 2022,879,645,7,227,178,147,0,31,20.25%,41.63%,30.43%,52.87%,22.79%,0%,13.66%,,2024-12-18
51,15 Dec 2022,"1,373","1,007",32,334,263,235,5,23,19.16%,41.41%,30.34%,52.83%,23.34%,15.63%,6.89%,Roll-out of release: Started roll-out of 14 (0.9.14) at 100%.,2024-12-18
52,16 Dec 2022,487,328,11,148,128,79,3,46,26.28%,40.87%,29.63%,52.27%,24.09%,27.27%,31.08%,,2024-12-18
53,17 Dec 2022,95,27,3,65,30,9,0,21,31.58%,41.18%,29.68%,52.38%,33.33%,0%,32.31%,,2024-12-18
54,18 Dec 2022,118,65,3,50,27,11,0,16,22.88%,41.67%,30.45%,52.98%,16.92%,0%,32%,,2024-12-18
55,19 Dec 2022,152,73,3,76,66,29,0,37,43.42%,41.79%,30.36%,52.94%,39.73%,0%,48.68%,,2024-12-18
56,20 Dec 2022,68,20,3,45,24,9,1,14,35.29%,41.67%,30.52%,52.88%,45%,33.33%,31.11%,,2024-12-18
57,21 Dec 2022,87,40,3,44,31,13,1,17,35.63%,41.67%,30.06%,52.98%,32.50%,33.33%,38.64%,,2024-12-18
58,22 Dec 2022,97,29,6,62,47,12,0,35,48.45%,41.44%,30%,52.63%,41.38%,0%,56.45%,,2024-12-18
59,23 Dec 2022,75,10,4,61,47,8,0,39,62.67%,41.04%,29.83%,52.50%,80%,0%,63.93%,,2024-12-18
60,24 Dec 2022,41,7,1,33,30,5,0,25,73.17%,41.01%,29.45%,52.59%,71.43%,0%,75.76%,,2024-12-18
61,25 Dec 2022,92,4,7,81,31,1,1,29,33.70%,41.27%,29.88%,52.66%,25%,14.29%,35.80%,,2024-12-18
62,26 Dec 2022,188,9,4,175,56,6,1,49,29.79%,41.34%,30.37%,52.50%,66.67%,25%,28%,,2024-12-18
63,27 Dec 2022,165,8,5,152,51,2,1,48,30.91%,41.46%,30.15%,52.63%,25%,20%,31.58%,,2024-12-18
64,28 Dec 2022,156,6,11,139,35,2,1,32,22.44%,41.67%,30.21%,52.78%,33.33%,9.09%,23.02%,,2024-12-18
65,29 Dec 2022,137,8,3,126,29,3,0,26,21.17%,41.44%,30%,52.63%,37.50%,0%,20.63%,Roll-out of release: Started roll-out of 15 (0.9.15) at 100%.,2024-12-18
66,30 Dec 2022,148,6,1,141,53,4,1,48,35.81%,41.18%,29.75%,52.46%,66.67%,100%,34.04%,,2024-12-18
67,31 Dec 2022,103,3,3,97,24,3,0,21,23.30%,41.44%,29.73%,53.33%,100%,0%,21.65%,,2024-12-18
