,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
0,25 Oct 2022,0,Roll-out of release: Started roll-out of 3 (0.9.5) at 100%.,2024-12-18
1,26 Oct 2022,0,Roll-out of release: Started roll-out of 4 (0.9.6) at 100%.,2024-12-18
2,27 Oct 2022,0,,2024-12-18
3,28 Oct 2022,0,,2024-12-18
4,29 Oct 2022,3,,2024-12-18
5,30 Oct 2022,878,,2024-12-18
6,31 Oct 2022,975,,2024-12-18
7,1 Nov 2022,546,,2024-12-18
8,2 Nov 2022,273,,2024-12-18
9,3 Nov 2022,215,Roll-out of release: Started roll-out of 5 (0.9.7) at 100%.,2024-12-18
10,4 Nov 2022,243,,2024-12-18
11,5 Nov 2022,211,,2024-12-18
12,6 Nov 2022,231,Roll-out of release: Started roll-out of 7 (0.9.9) at 100%.,2024-12-18
13,7 Nov 2022,192,,2024-12-18
14,8 Nov 2022,173,,2024-12-18
15,9 Nov 2022,148,,2024-12-18
16,10 Nov 2022,81,,2024-12-18
17,11 Nov 2022,118,,2024-12-18
18,12 Nov 2022,138,,2024-12-18
19,13 Nov 2022,128,,2024-12-18
20,14 Nov 2022,120,Roll-out of release: Started roll-out of 8 (0.9.10) at 100%.,2024-12-18
21,15 Nov 2022,134,Roll-out of release: Started roll-out of 9 (0.9.10) at 100%. Roll-out of release: Started roll-out of 10 (0.9.10) at 100%.,2024-12-18
22,16 Nov 2022,103,,2024-12-18
23,17 Nov 2022,59,,2024-12-18
24,18 Nov 2022,70,,2024-12-18
25,19 Nov 2022,64,Roll-out of release: Started roll-out of 11 (0.9.11) at 100%.,2024-12-18
26,20 Nov 2022,227,,2024-12-18
27,21 Nov 2022,131,,2024-12-18
28,22 Nov 2022,51,Roll-out of release: Started roll-out of 12 (0.9.12) at 100%.,2024-12-18
29,23 Nov 2022,38,,2024-12-18
30,24 Nov 2022,74,,2024-12-18
31,25 Nov 2022,60,,2024-12-18
32,26 Nov 2022,40,,2024-12-18
33,27 Nov 2022,34,,2024-12-18
34,28 Nov 2022,53,,2024-12-18
35,29 Nov 2022,35,,2024-12-18
36,30 Nov 2022,83,,2024-12-18
37,1 Dec 2022,53,Roll-out of release: Started roll-out of 13 (0.9.13) at 100%.,2024-12-18
38,2 Dec 2022,58,,2024-12-18
39,3 Dec 2022,38,,2024-12-18
40,4 Dec 2022,46,,2024-12-18
41,5 Dec 2022,46,,2024-12-18
42,6 Dec 2022,55,,2024-12-18
43,7 Dec 2022,246,,2024-12-18
44,8 Dec 2022,278,,2024-12-18
45,9 Dec 2022,273,,2024-12-18
46,10 Dec 2022,99,,2024-12-18
47,11 Dec 2022,211,,2024-12-18
48,12 Dec 2022,353,,2024-12-18
49,13 Dec 2022,350,,2024-12-18
50,14 Dec 2022,194,,2024-12-18
51,15 Dec 2022,296,Roll-out of release: Started roll-out of 14 (0.9.14) at 100%.,2024-12-18
52,16 Dec 2022,145,,2024-12-18
53,17 Dec 2022,37,,2024-12-18
54,18 Dec 2022,34,,2024-12-18
55,19 Dec 2022,62,,2024-12-18
56,20 Dec 2022,26,,2024-12-18
57,21 Dec 2022,37,,2024-12-18
58,22 Dec 2022,52,,2024-12-18
59,23 Dec 2022,57,,2024-12-18
60,24 Dec 2022,33,,2024-12-18
61,25 Dec 2022,35,,2024-12-18
62,26 Dec 2022,61,,2024-12-18
63,27 Dec 2022,59,,2024-12-18
64,28 Dec 2022,44,,2024-12-18
65,29 Dec 2022,35,Roll-out of release: Started roll-out of 15 (0.9.15) at 100%.,2024-12-18
66,30 Dec 2022,57,,2024-12-18
67,31 Dec 2022,31,,2024-12-18
68,1 Jan 2023,49,,2024-12-18
69,2 Jan 2023,95,,2024-12-18
70,3 Jan 2023,127,,2024-12-18
71,4 Jan 2023,168,,2024-12-18
72,5 Jan 2023,168,Roll-out of release: Started roll-out of 16 (0.9.16) at 100%.,2024-12-18
73,6 Jan 2023,142,Roll-out of release: Started roll-out of 17 (0.9.17) at 100%.,2024-12-18
74,7 Jan 2023,208,,2024-12-18
75,8 Jan 2023,179,,2024-12-18
76,9 Jan 2023,348,,2024-12-18
77,10 Jan 2023,444,,2024-12-18
78,11 Jan 2023,527,Roll-out of release: Started roll-out of 19 (0.9.19) at 100%. Roll-out of release: Started roll-out of 20 (0.9.20) at 100%.,2024-12-18
79,12 Jan 2023,754,,2024-12-18
80,13 Jan 2023,773,,2024-12-18
81,14 Jan 2023,"1,001",,2024-12-18
82,15 Jan 2023,766,,2024-12-18
83,16 Jan 2023,258,,2024-12-18
84,17 Jan 2023,332,,2024-12-18
85,18 Jan 2023,36,,2024-12-18
86,19 Jan 2023,43,,2024-12-18
87,20 Jan 2023,53,,2024-12-18
88,21 Jan 2023,49,,2024-12-18
89,22 Jan 2023,779,,2024-12-18
90,23 Jan 2023,383,,2024-12-18
91,24 Jan 2023,356,,2024-12-18
92,25 Jan 2023,238,,2024-12-18
93,26 Jan 2023,187,,2024-12-18
94,27 Jan 2023,204,Roll-out of release: Started roll-out of 22 (0.9.22) at 100%.,2024-12-18
95,28 Jan 2023,213,,2024-12-18
96,29 Jan 2023,219,,2024-12-18
97,30 Jan 2023,212,Roll-out of release: Started roll-out of 24 (0.9.24) at 100%.,2024-12-18
98,31 Jan 2023,174,,2024-12-18
99,1 Feb 2023,196,Roll-out of release: Started roll-out of 25 (0.9.24) at 100%.,2024-12-18
100,2 Feb 2023,252,,2024-12-18
101,3 Feb 2023,242,,2024-12-18
102,4 Feb 2023,201,,2024-12-18
103,5 Feb 2023,191,,2024-12-18
104,6 Feb 2023,228,,2024-12-18
105,7 Feb 2023,206,,2024-12-18
106,8 Feb 2023,201,,2024-12-18
107,9 Feb 2023,202,,2024-12-18
108,10 Feb 2023,220,,2024-12-18
109,11 Feb 2023,237,,2024-12-18
110,12 Feb 2023,309,,2024-12-18
111,13 Feb 2023,302,,2024-12-18
112,14 Feb 2023,233,,2024-12-18
113,15 Feb 2023,263,,2024-12-18
114,16 Feb 2023,244,,2024-12-18
115,17 Feb 2023,254,,2024-12-18
116,18 Feb 2023,250,,2024-12-18
117,19 Feb 2023,183,Roll-out of release: Started roll-out of 26 (0.9.26) at 100%.,2024-12-18
118,20 Feb 2023,281,Roll-out of release: Started roll-out of 27 (0.9.27) at 100%.,2024-12-18
119,21 Feb 2023,205,Roll-out of release: Started roll-out of 28 (0.9.28) at 100%. Roll-out of release: Started roll-out of 29 (0.9.29) at 100%.,2024-12-18
120,22 Feb 2023,183,,2024-12-18
121,23 Feb 2023,198,,2024-12-18
122,24 Feb 2023,213,,2024-12-18
123,25 Feb 2023,203,,2024-12-18
124,26 Feb 2023,198,,2024-12-18
125,27 Feb 2023,203,,2024-12-18
126,28 Feb 2023,223,,2024-12-18
127,1 Mar 2023,204,,2024-12-18
128,2 Mar 2023,175,,2024-12-18
129,3 Mar 2023,192,,2024-12-18
130,4 Mar 2023,183,,2024-12-18
131,5 Mar 2023,169,,2024-12-18
132,6 Mar 2023,161,,2024-12-18
133,7 Mar 2023,185,,2024-12-18
134,8 Mar 2023,127,,2024-12-18
135,9 Mar 2023,186,,2024-12-18
136,10 Mar 2023,187,,2024-12-18
137,11 Mar 2023,191,,2024-12-18
138,12 Mar 2023,180,,2024-12-18
139,13 Mar 2023,163,Roll-out of release: Started roll-out of 30 (0.9.30) at 100%.,2024-12-18
140,14 Mar 2023,233,,2024-12-18
141,15 Mar 2023,400,,2024-12-18
142,16 Mar 2023,339,,2024-12-18
143,17 Mar 2023,378,,2024-12-18
144,18 Mar 2023,396,,2024-12-18
145,19 Mar 2023,382,,2024-12-18
146,20 Mar 2023,332,,2024-12-18
147,21 Mar 2023,351,,2024-12-18
148,22 Mar 2023,357,,2024-12-18
149,23 Mar 2023,352,,2024-12-18
150,24 Mar 2023,345,,2024-12-18
151,25 Mar 2023,337,,2024-12-18
152,26 Mar 2023,361,Roll-out of release: Started roll-out of 31 (0.9.31) at 100%.,2024-12-18
153,27 Mar 2023,331,,2024-12-18
154,28 Mar 2023,325,Roll-out of release: Started roll-out of 32 (0.9.31) at 100%.,2024-12-18
155,29 Mar 2023,316,,2024-12-18
156,30 Mar 2023,277,,2024-12-18
157,31 Mar 2023,252,,2024-12-18
158,1 Apr 2023,285,,2024-12-18
159,2 Apr 2023,267,,2024-12-18
160,3 Apr 2023,178,,2024-12-18
161,4 Apr 2023,218,,2024-12-18
162,5 Apr 2023,206,,2024-12-18
163,6 Apr 2023,182,Roll-out of release: Started roll-out of 33 (1.0.0) at 100%.,2024-12-18
164,7 Apr 2023,195,,2024-12-18
165,8 Apr 2023,248,,2024-12-18
166,9 Apr 2023,253,,2024-12-18
167,10 Apr 2023,160,,2024-12-18
168,11 Apr 2023,162,,2024-12-18
169,12 Apr 2023,145,,2024-12-18
170,13 Apr 2023,192,,2024-12-18
171,14 Apr 2023,206,,2024-12-18
172,15 Apr 2023,244,,2024-12-18
173,16 Apr 2023,277,,2024-12-18
174,17 Apr 2023,349,,2024-12-18
175,18 Apr 2023,222,,2024-12-18
176,19 Apr 2023,276,,2024-12-18
177,20 Apr 2023,424,,2024-12-18
178,21 Apr 2023,370,,2024-12-18
179,22 Apr 2023,372,,2024-12-18
180,23 Apr 2023,242,,2024-12-18
181,24 Apr 2023,255,,2024-12-18
182,25 Apr 2023,311,,2024-12-18
183,26 Apr 2023,354,,2024-12-18
184,27 Apr 2023,361,,2024-12-18
185,28 Apr 2023,335,,2024-12-18
186,29 Apr 2023,370,,2024-12-18
187,30 Apr 2023,428,,2024-12-18
188,1 May 2023,334,,2024-12-18
189,2 May 2023,299,,2024-12-18
190,3 May 2023,256,,2024-12-18
191,4 May 2023,270,,2024-12-18
192,5 May 2023,301,Roll-out of release: Started roll-out of 45 (1.1.0) at 100%.,2024-12-18
193,6 May 2023,311,,2024-12-18
194,7 May 2023,331,,2024-12-18
195,8 May 2023,299,,2024-12-18
196,9 May 2023,282,,2024-12-18
197,10 May 2023,277,,2024-12-18
198,11 May 2023,157,,2024-12-18
199,12 May 2023,145,,2024-12-18
200,13 May 2023,180,,2024-12-18
201,14 May 2023,188,,2024-12-18
202,15 May 2023,356,,2024-12-18
203,16 May 2023,230,,2024-12-18
204,17 May 2023,256,,2024-12-18
205,18 May 2023,263,,2024-12-18
206,19 May 2023,245,,2024-12-18
207,20 May 2023,293,,2024-12-18
208,21 May 2023,274,,2024-12-18
209,22 May 2023,262,,2024-12-18
210,23 May 2023,222,,2024-12-18
211,24 May 2023,339,,2024-12-18
212,25 May 2023,351,,2024-12-18
213,26 May 2023,296,,2024-12-18
214,27 May 2023,353,,2024-12-18
215,28 May 2023,321,,2024-12-18
216,29 May 2023,335,,2024-12-18
217,30 May 2023,390,,2024-12-18
218,31 May 2023,369,,2024-12-18
219,1 Jun 2023,221,,2024-12-18
220,2 Jun 2023,172,,2024-12-18
221,3 Jun 2023,150,,2024-12-18
222,4 Jun 2023,138,,2024-12-18
223,5 Jun 2023,147,,2024-12-18
224,6 Jun 2023,185,,2024-12-18
225,7 Jun 2023,326,,2024-12-18
226,8 Jun 2023,494,,2024-12-18
227,9 Jun 2023,391,,2024-12-18
228,10 Jun 2023,467,,2024-12-18
229,11 Jun 2023,481,,2024-12-18
230,12 Jun 2023,439,,2024-12-18
231,13 Jun 2023,487,,2024-12-18
232,14 Jun 2023,430,,2024-12-18
233,15 Jun 2023,363,,2024-12-18
234,16 Jun 2023,416,,2024-12-18
235,17 Jun 2023,425,,2024-12-18
236,18 Jun 2023,458,,2024-12-18
237,19 Jun 2023,408,Roll-out of release: Started roll-out of 46 (1.2.0) at 100%.,2024-12-18
238,20 Jun 2023,310,,2024-12-18
239,21 Jun 2023,401,,2024-12-18
240,22 Jun 2023,322,,2024-12-18
241,23 Jun 2023,316,,2024-12-18
242,24 Jun 2023,373,,2024-12-18
243,25 Jun 2023,325,,2024-12-18
244,26 Jun 2023,406,,2024-12-18
245,27 Jun 2023,367,,2024-12-18
246,28 Jun 2023,338,,2024-12-18
247,29 Jun 2023,270,,2024-12-18
248,30 Jun 2023,298,,2024-12-18
249,1 Jul 2023,338,,2024-12-18
250,2 Jul 2023,392,,2024-12-18
251,3 Jul 2023,394,,2024-12-18
252,4 Jul 2023,362,,2024-12-18
253,5 Jul 2023,417,Roll-out of release: Started roll-out of 47 (1.2.1) at 100%.,2024-12-18
254,6 Jul 2023,331,,2024-12-18
255,7 Jul 2023,350,,2024-12-18
256,8 Jul 2023,312,,2024-12-18
257,9 Jul 2023,344,,2024-12-18
258,10 Jul 2023,379,,2024-12-18
259,11 Jul 2023,384,,2024-12-18
260,12 Jul 2023,390,,2024-12-18
261,13 Jul 2023,330,,2024-12-18
262,14 Jul 2023,355,,2024-12-18
263,15 Jul 2023,387,,2024-12-18
264,16 Jul 2023,292,,2024-12-18
265,17 Jul 2023,366,,2024-12-18
266,18 Jul 2023,341,,2024-12-18
267,19 Jul 2023,382,,2024-12-18
268,20 Jul 2023,349,,2024-12-18
269,21 Jul 2023,419,,2024-12-18
