,Category,Keywords,Search Vol,Backlinks,19-3-2023,26-3-2023,2-4-2023,9-4-2023,16-4-2023,23-4-2023,30-4-2023,7-5-2023,14-5-2023,21-5-2023,28-5-2023,4-6-2023,11-6-2023,18-6-2023,25-6-2023,2-7-2023,9-7-2023,16-7-2023,23-7-2023,30-7-2023,6-8-2023,13-8-2023,20-8-2023,27-8-2023,3-9-2023,10-9-2023,17-9-2023,24-9-2023,1-10-2023,8-10-2023,15-10-2023,22-10-2023,29-10-2023,5-11-2023,12-11-2023,19-11-2023,26-11-2023,3-12-2023,10-12-2023,17-12-2023,24-12-2023,31-12-2023,7-1-2024,14-1-2024,21-1-2024,28-1-2024,4-2-2024,11-2-2024,18-2-2024,25-2-2024,3-3-2024,10-3-2024,17-3-2024,24-3-2024,31-3-2024,7-4-2024,14-4-2024,21-4-2024,28-4-2024,5-5-2024,12-5-2024,19-5-2024,26-5-2024,2-6-2024,9-6-2024,16-6-2024,23-6-2024,30-6-2024,7-7-2024,14-7-2024,21-7-2024,28-7-2024,4-8-2024,11-8-2024,18-8-2024,25-8-2024,1-9-2024,8-9-2024,15-9-2024,22-9-2024,29-9-2024,6-10-2024,13-10-2024,20-10-2024,27-10-2024,3-11-2024,10-11-2024,17-11-2024,24-11-2024,1-12-2024,8-12-2024,Landing Page,pull_date
0,homepage,baca novel gratis,"9,900","Blogger Mar (9) , Blogger Mei (7)",-,-,68,,,,,44,23,7,11,10,5,3,3,3,3,2,2,2,2,2,2,1,2,2,2,4,6,8,2,8,4,2,3,3,2,2,3,3,3,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/,2024-12-18
1,homepage,baca novel,"8,100","Blogger Apr (8), Blogger Juni (6)",-,-,44,,,,,8,13,7,8,7,6,43,4,3,2,3,2,1,1,1,1,1,1,1,1,4,5,4,3,5,4,2,4,1,2,1,2,2,2,2,3,2,3,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://gooddreamer.id/,2024-12-18
2,homepage,novel gratis,"6,600","JSB edu Jun (50), JSB 2.0 Jun (5)",-,-,61,,,,,22,60,20,39,10,22,18,7,20,3,7,3,3,3,8,2,9,7,16,5,8,6,8,3,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,https://gooddreamer.id/,2024-12-18
3,homepage,web novel,"33,100","Blogger Mar (9), Blogger Juni (6), Blogger Okt (6), Media Nov (1), Blogger Jan (9), Media Feb (4), JSB 2.0 Jun (80)",-,-,-,,,,,9,9,7,7,8,8,8,6,5,6,6,4,3,3,3,4,4,4,3,3,19,16,18,22,24,41,30,28,46,28,37,36,38,34,35,40,44,32,8,32,35,9,9,5,27,10,22,9,30,9,34,8,10,35,11,8,15,12,12,11,16,14,13,18,17,9,43,14,22,12,12,23,11,26,11,7,9,8,9,9,5,4,9,8,https://gooddreamer.id/,2024-12-18
4,homepage,novel online,"5,400",Blogger Apr (7),-,82,85,,,,,74,20,11,13,9,23,43,4,4,45,18,29,2,5,3,3,6,21,4,6,4,5,4,4,2,4,2,2,2,2,2,2,4,3,2,3,4,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/,2024-12-18
5,homepage,baca novel online,"2,400",Blogger Apr (7),-,-,55,,,,,6,13,5,9,7,9,4,4,3,2,4,1,1,1,1,1,1,1,1,1,4,4,4,2,3,3,1,1,2,1,1,1,3,3,3,3,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/,2024-12-18
6,homepage,novel online gratis,"3,600",Blogger Juni (6),-,-,64,,,,,15,12,10,10,9,15,16,5,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/,2024-12-18
7,homepage,kumpulan novel,"3,600","Blogger Jul 2 (7), Blogger Ayead Nov (6), Media Nov (2), Media Feb (4), Media Apr (3), JSB blog comment Jun (500), JSB edu Jun (50), JSB 2.0 Jun (5)",-,-,-,,,,,84,-,-,64,52,41,38,27,40,39,14,7,9,8,7,7,8,7,8,7,25,51,20,27,33,27,19,21,17,17,48,21,49,24,26,26,30,40,23,34,45,32,24,23,23,23,24,23,48,32,36,35,26,86,28,29,28,30,19,19,20,34,25,26,24,16,14,13,11,14,13,16,13,15,12,8,12,15,14,17,12,12,11,13,https://gooddreamer.id/,2024-12-18
8,homepage,novel terbaik,"2,400","Blogger Jul (9), Blogger Nov (7), Media Nov (4), Media Apr (2)",-,-,-,,,,,95,-,-,-,-,-,67,61,45,24,-,92,88,74,83,56,66,56,39,32,54,53,41,52,61,65,38,42,37,36,76,47,59,34,51,54,52,49,39,42,48,49,45,39,44,28,37,33,56,34,34,41,40,33,45,29,29,21,27,20,19,25,22,24,23,16,24,11,16,19,12,11,14,16,16,16,16,17,19,16,13,14,12,16,https://gooddreamer.id/,2024-12-18
9,romansa,novel romantis,"22,100","Blogger Juni (7), Blogger Okt (6), Media Nov (2), JSB Jul (40)",-,-,-,,,,,-,-,-,-,15,11,9,13,10,44,9,8,6,5,3,4,4,5,5,6,5,7,7,7,8,5,7,6,7,7,7,7,6,5,7,8,7,6,4,4,4,4,4,4,4,5,4,4,4,4,4,5,6,4,4,3,4,3,4,3,3,5,4,5,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://gooddreamer.id/novel_romantis,2024-12-18
10,romansa,novel romance,"1,900","Blogger Jul 2 (7), JSB Jul (40), OMNI Agu (3)",-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,7,6,4,3,3,3,3,3,3,4,2,5,5,5,5,4,3,4,4,3,4,5,6,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,6,6,5,6,4,5,4,4,3,4,4,6,6,6,6,3,6,6,4,4,3,3,3,4,4,5,3,3,3,3,3,3,3,4,4,https://gooddreamer.id/novel_romantis,2024-12-18
11,romansa,baca novel romantis,720,Blogger Mei (6),-,-,-,,,,,-,-,-,12,11,10,5,3,7,4,9,3,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_romantis,2024-12-18
12,romansa,cerita novel romantis,"2,900",Blogger Agt (7),-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,7,5,3,3,2,2,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,https://gooddreamer.id/novel_romantis,2024-12-18
13,romansa,baca novel romantis gratis,"3,600",,-,-,-,,,,,27,44,26,8,7,6,4,4,4,3,4,3,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,3,3,3,2,3,2,2,2,3,1,2,3,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_romantis,2024-12-18
14,romansa,novel cinta,"2,400","Blogger Agt (7), Blogger Okt (6), Blogger Des (7)",-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,67,40,59,4,4,20,23,14,30,14,17,6,6,7,14,-,25,6,8,24,6,5,6,5,96,6,5,6,4,5,4,4,5,5,4,11,5,4,3,3,4,3,2,2,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://gooddreamer.id/novel_romantis,2024-12-18
15,romansa,novel percintaan,880,Blogger Sept (9),-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,6,6,4,6,6,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,4,2,2,2,2,3,2,9,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,https://gooddreamer.id/novel_romantis,2024-12-18
16,romansa,novel remaja romantis,880,"Blogger Sept (11), Blogger Nov (7), Media Jan (3)",-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,55,17,38,34,15,34,19,25,47,21,32,35,45,32,27,20,27,12,13,28,13,16,14,36,41,48,28,22,58,50,58,44,57,63,70,77,66,82,81,33,45,37,38,23,47,56,58,31,44,7,9,7,4,7,11,5,19,6,6,29,5,10,5,5,5,6,https://gooddreamer.id/novel_romantis,2024-12-18
